league,season,date,year,month,day,time,score,home_team,away_team,home_formation,away_formation,venue,referee,file_path
england_epl,2015-2016,2015-09-26,2015,9,26,16:00,3 - 2,Liverpool,Aston Villa,3-4-1-2,4-3-3,Anfield (Liverpool),Jonathan Moss,database/Game_dataset/england_epl_2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa/Labels-caption.json
england_epl,2015-2016,2015-09-26,2015,9,26,16:00,3 - 0,Manchester United,Sunderland,4-2-3-1,4-1-4-1,Old Trafford (Manchester),Mike Jones,database/Game_dataset/england_epl_2015-2016/2015-09-26 - 17-00 Manchester United 3 - 0 Sunderland/Labels-caption.json
england_epl,2015-2016,2015-09-26,2015,9,26,18:30,2 - 2,Newcastle Utd,Chelsea,4-4-2,4-2-3-1,St. James' Park (Newcastle),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2015-09-26 - 19-30 Newcastle Utd 2 - 2 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2015-10-03,2015,10,3,16:00,6 - 1,Manchester City,Newcastle Utd,4-2-3-1,4-4-2,Etihad Stadium (Manchester),Kevin Friend,database/Game_dataset/england_epl_2015-2016/2015-10-03 - 17-00 Manchester City 6 - 1 Newcastle Utd/Labels-caption.json
england_epl,2015-2016,2015-10-03,2015,10,3,18:30,1 - 3,Chelsea,Southampton,4-2-3-1,4-2-3-1,Stamford Bridge (London),Robert Madley,database/Game_dataset/england_epl_2015-2016/2015-10-03 - 19-30 Chelsea 1 - 3 Southampton/Labels-caption_with_gt.json
england_epl,2015-2016,2015-10-17,2015,10,17,16:00,2 - 0,Chelsea,Aston Villa,4-2-3-1,4-2-3-1,Stamford Bridge (London),Roger East,database/Game_dataset/england_epl_2015-2016/2015-10-17 - 17-00 Chelsea 2 - 0 Aston Villa/Labels-caption.json
england_epl,2015-2016,2015-10-24,2015,10,24,16:00,2 - 1,West Ham,Chelsea,4-2-3-1,4-2-3-1,Boleyn Ground (London),Jonathan Moss,database/Game_dataset/england_epl_2015-2016/2015-10-24 - 17-00 West Ham 2 - 1 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2015-10-31,2015,10,31,13:45,1 - 3,Chelsea,Liverpool,4-2-3-1,4-3-2-1,Stamford Bridge (London),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool/Labels-caption.json
england_epl,2015-2016,2015-11-07,2015,11,7,16:00,2 - 0,Manchester United,West Brom,4-2-3-1,4-5-1,Old Trafford (Manchester),Michael Dean,database/Game_dataset/england_epl_2015-2016/2015-11-07 - 18-00 Manchester United 2 - 0 West Brom/Labels-caption.json
england_epl,2015-2016,2015-11-07,2015,11,7,18:30,1 - 0,Stoke City,Chelsea,4-2-3-1,4-2-3-1,Bet365 Stadium (Stoke on Trent),Anthony Taylor,database/Game_dataset/england_epl_2015-2016/2015-11-07 - 20-30 Stoke City 1 - 0 Chelsea/Labels-caption.json
england_epl,2015-2016,2015-11-08,2015,11,8,17:00,1 - 1,Arsenal,Tottenham,4-2-3-1,4-2-3-1,Emirates Stadium (London),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2015-11-08 - 19-00 Arsenal 1 - 1 Tottenham/Labels-caption_with_gt.json
england_epl,2015-2016,2015-11-21,2015,11,21,18:30,1 - 4,Manchester City,Liverpool,4-2-3-1,4-3-3,Etihad Stadium (Manchester),Jonathan Moss,database/Game_dataset/england_epl_2015-2016/2015-11-21 - 20-30 Manchester City 1 - 4 Liverpool/Labels-caption.json
england_epl,2015-2016,2015-11-29,2015,11,29,13:00,0 - 0,Tottenham,Chelsea,4-3-2-1,4-2-3-1,White Hart Lane (London),Michael Oliver,database/Game_dataset/england_epl_2015-2016/2015-11-29 - 15-00 Tottenham 0 - 0 Chelsea/Labels-caption.json
england_epl,2015-2016,2015-12-05,2015,12,5,18:30,0 - 1,Chelsea,Bournemouth,4-2-3-1,4-1-4-1,Stamford Bridge (London),Mike Jones,database/Game_dataset/england_epl_2015-2016/2015-12-05 - 20-30 Chelsea 0 - 1 Bournemouth/Labels-caption.json
england_epl,2015-2016,2015-12-19,2015,12,19,16:00,3 - 1,Chelsea,Sunderland,4-2-3-1,5-3-2,Stamford Bridge (London),Roger East,database/Game_dataset/england_epl_2015-2016/2015-12-19 - 18-00 Chelsea 3 - 1 Sunderland/Labels-caption.json
england_epl,2015-2016,2015-12-26,2015,12,26,16:00,4 - 1,Manchester City,Sunderland,4-2-3-1,4-3-3,Etihad Stadium (Manchester),Anthony Taylor,database/Game_dataset/england_epl_2015-2016/2015-12-26 - 18-00 Manchester City 4 - 1 Sunderland/Labels-caption.json
england_epl,2015-2016,2015-12-26,2015,12,26,16:00,2 - 2,Chelsea,Watford,4-2-3-1,4-4-2,Stamford Bridge (London),Andre Marriner,database/Game_dataset/england_epl_2015-2016/2015-12-26 - 18-00 Chelsea 2 - 2 Watford/Labels-caption.json
england_epl,2015-2016,2015-12-28,2015,12,28,18:30,0 - 0,Manchester United,Chelsea,4-2-3-1,4-2-3-1,Old Trafford (Manchester),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2015-12-28 - 20-30 Manchester United 0 - 0 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-01-03,2016,1,3,14:30,0 - 3,Crystal Palace,Chelsea,4-2-3-1,4-2-3-1,Selhurst Park (London),Kevin Friend,database/Game_dataset/england_epl_2015-2016/2016-01-03 - 16-30 Crystal Palace 0 - 3 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-01-13,2016,1,13,20:45,2 - 2,Chelsea,West Brom,4-2-3-1,4-1-4-1,Stamford Bridge (London),Anthony Taylor,database/Game_dataset/england_epl_2015-2016/2016-01-13 - 22-45 Chelsea 2 - 2 West Brom/Labels-caption.json
england_epl,2015-2016,2016-01-23,2016,1,23,18:30,2 - 2,West Ham,Manchester City,4-3-3,4-2-3-1,Boleyn Ground (London),Craig Pawson,database/Game_dataset/england_epl_2015-2016/2016-01-23 - 20-30 West Ham 2 - 2 Manchester City/Labels-caption.json
england_epl,2015-2016,2016-01-24,2016,1,24,17:00,0 - 1,Arsenal,Chelsea,4-2-3-1,4-2-3-1,Emirates Stadium (London),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2016-01-24 - 19-00 Arsenal 0 - 1 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-02-03,2016,2,3,20:45,0 - 0,Watford,Chelsea,4-3-1-2,4-2-3-1,Vicarage Road (Watford),Michael Dean,database/Game_dataset/england_epl_2015-2016/2016-02-03 - 22-45 Watford 0 - 0 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2016-02-07,2016,2,7,17:00,1 - 1,Chelsea,Manchester United,4-2-3-1,4-2-3-1,Stamford Bridge (London),Michael Oliver,database/Game_dataset/england_epl_2015-2016/2016-02-07 - 19-00 Chelsea 1 - 1 Manchester United/Labels-caption.json
england_epl,2015-2016,2016-02-13,2016,2,13,18:30,5 - 1,Chelsea,Newcastle Utd,4-2-3-1,4-2-3-1,Stamford Bridge (London),Roger East,database/Game_dataset/england_epl_2015-2016/2016-02-13 - 20-30 Chelsea 5 - 1 Newcastle Utd/Labels-caption.json
england_epl,2015-2016,2016-02-14,2016,2,14,17:15,1 - 2,Manchester City,Tottenham,4-2-3-1,4-2-3-1,Etihad Stadium (Manchester),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2016-02-14 - 19-15 Manchester City 1 - 2 Tottenham/Labels-caption.json
england_epl,2015-2016,2016-02-27,2016,2,27,16:00,1 - 2,Southampton,Chelsea,4-2-3-1,4-2-3-1,St. Mary's Stadium (Southampton),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2016-02-27 - 18-00 Southampton 1 - 2 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-03-01,2016,3,1,20:45,1 - 2,Norwich,Chelsea,5-4-1,4-2-3-1,Carrow Road (Norwich),Lee Mason,database/Game_dataset/england_epl_2015-2016/2016-03-01 - 22-45 Norwich 1 - 2 Chelsea/Labels-caption_with_gt.json
england_epl,2015-2016,2016-03-02,2016,3,2,21:00,3 - 0,Liverpool,Manchester City,4-4-1-1,4-2-3-1,Anfield (Liverpool),Martin Atkinson,database/Game_dataset/england_epl_2015-2016/2016-03-02 - 23-00 Liverpool 3 - 0 Manchester City/Labels-caption.json
england_epl,2015-2016,2016-03-05,2016,3,5,16:00,4 - 0,Manchester City,Aston Villa,4-4-2,3-5-2,Etihad Stadium (Manchester),Lee Mason,database/Game_dataset/england_epl_2015-2016/2016-03-05 - 18-00 Manchester City 4 - 0 Aston Villa/Labels-caption.json
england_epl,2015-2016,2016-03-05,2016,3,5,16:00,1 - 1,Chelsea,Stoke City,4-2-3-1,4-2-3-1,Stamford Bridge (London),Mark Clattenburg,database/Game_dataset/england_epl_2015-2016/2016-03-05 - 18-00 Chelsea 1 - 1 Stoke City/Labels-caption.json
england_epl,2015-2016,2016-03-19,2016,3,19,16:00,2 - 2,Chelsea,West Ham,4-2-3-1,4-2-3-1,Stamford Bridge (London),Robert Madley,database/Game_dataset/england_epl_2015-2016/2016-03-19 - 18-00 Chelsea 2 - 2 West Ham/Labels-caption.json
england_epl,2015-2016,2016-03-20,2016,3,20,17:00,0 - 1,Manchester City,Manchester United,4-2-3-1,4-1-4-1,Etihad Stadium (Manchester),Michael Oliver,database/Game_dataset/england_epl_2015-2016/2016-03-20 - 19-00 Manchester City 0 - 1 Manchester United/Labels-caption.json
england_epl,2015-2016,2016-04-09,2016,4,9,16:00,1 - 0,Swansea,Chelsea,4-2-3-1,4-2-3-1,Swansea.com Stadium (Swansea),Andre Marriner,database/Game_dataset/england_epl_2015-2016/2016-04-09 - 17-00 Swansea 1 - 0 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-04-09,2016,4,9,18:30,2 - 1,Manchester City,West Brom,4-4-2,4-2-3-1,Etihad Stadium (Manchester),Mike Jones,database/Game_dataset/england_epl_2015-2016/2016-04-09 - 19-30 Manchester City 2 - 1 West Brom/Labels-caption.json
england_epl,2015-2016,2016-04-23,2016,4,23,16:00,1 - 4,Bournemouth,Chelsea,4-4-2,4-2-3-1,Vitality Stadium (Bournemouth),Roger East,database/Game_dataset/england_epl_2015-2016/2016-04-23 - 17-00 Bournemouth 1 - 4 Chelsea/Labels-caption.json
england_epl,2015-2016,2016-05-07,2016,5,7,16:00,3 - 2,Sunderland,Chelsea,4-1-4-1,4-2-3-1,Stadium of Light (Sunderland),Mike Jones,database/Game_dataset/england_epl_2015-2016/2016-05-07 - 17-00 Sunderland 3 - 2 Chelsea/Labels-caption.json
england_epl,2016-2017,2016-08-14,2016,8,14,17:00,3 - 4,Arsenal,Liverpool,4-2-3-1,4-3-3,Emirates Stadium (London),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-08-20,2016,8,20,16:00,2 - 0,Burnley,Liverpool,4-4-2,4-3-3,Turf Moor (Burnley),Lee Mason,database/Game_dataset/england_epl_2016-2017/2016-08-20 - 17-00 Burnley 2 - 0 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-08-20,2016,8,20,18:30,0 - 0,Leicester,Arsenal,4-4-2,4-2-3-1,King Power Stadium (Leicester),Mark Clattenburg,database/Game_dataset/england_epl_2016-2017/2016-08-20 - 19-30 Leicester 0 - 0 Arsenal/Labels-caption.json
england_epl,2016-2017,2016-08-27,2016,8,27,13:30,1 - 1,Tottenham,Liverpool,4-2-3-1,4-3-3,White Hart Lane (London),Robert Madley,database/Game_dataset/england_epl_2016-2017/2016-08-27 - 14-30 Tottenham 1 - 1 Liverpool/Labels-caption_with_gt.json
england_epl,2016-2017,2016-09-10,2016,9,10,16:00,2 - 1,Arsenal,Southampton,4-2-3-1,4-3-3,Emirates Stadium (London),Robert Madley,database/Game_dataset/england_epl_2016-2017/2016-09-10 - 17-00 Arsenal 2 - 1 Southampton/Labels-caption.json
england_epl,2016-2017,2016-09-16,2016,9,16,21:00,1 - 2,Chelsea,Liverpool,4-2-3-1,4-3-3,Stamford Bridge (London),Martin Atkinson,database/Game_dataset/england_epl_2016-2017/2016-09-16 - 22-00 Chelsea 1 - 2 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-09-17,2016,9,17,16:00,1 - 4,Hull City,Arsenal,4-3-3,4-2-3-1,MKM Stadium (Hull),Roger East,database/Game_dataset/england_epl_2016-2017/2016-09-17 - 17-00 Hull City 1 - 4 Arsenal/Labels-caption.json
england_epl,2016-2017,2016-09-24,2016,9,24,13:30,4 - 1,Manchester United,Leicester,4-2-3-1,4-4-2,Old Trafford (Manchester),Michael Dean,database/Game_dataset/england_epl_2016-2017/2016-09-24 - 14-30 Manchester United 4 - 1 Leicester/Labels-caption.json
england_epl,2016-2017,2016-09-24,2016,9,24,18:30,3 - 0,Arsenal,Chelsea,4-2-3-1,4-1-4-1,Emirates Stadium (London),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-09-24 - 19-30 Arsenal 3 - 0 Chelsea/Labels-caption.json
england_epl,2016-2017,2016-10-01,2016,10,1,13:30,1 - 2,Swansea,Liverpool,4-3-3,4-3-3,Swansea.com Stadium (Swansea),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-10-01 - 14-30 Swansea 1 - 2 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-10-02,2016,10,2,17:30,0 - 1,Burnley,Arsenal,4-5-1,4-2-3-1,Turf Moor (Burnley),Craig Pawson,database/Game_dataset/england_epl_2016-2017/2016-10-02 - 18-30 Burnley 0 - 1 Arsenal/Labels-caption.json
england_epl,2016-2017,2016-10-15,2016,10,15,13:30,3 - 0,Chelsea,Leicester,3-4-3,4-4-2,Stamford Bridge (London),Andre Marriner,database/Game_dataset/england_epl_2016-2017/2016-10-15 - 14-30 Chelsea 3 - 0 Leicester/Labels-caption_with_gt.json
england_epl,2016-2017,2016-10-17,2016,10,17,21:00,0 - 0,Liverpool,Manchester United,4-3-3,4-2-3-1,Anfield (Liverpool),Anthony Taylor,database/Game_dataset/england_epl_2016-2017/2016-10-17 - 22-00 Liverpool 0 - 0 Manchester United/Labels-caption.json
england_epl,2016-2017,2016-10-22,2016,10,22,16:00,0 - 0,Arsenal,Middlesbrough,4-2-3-1,4-3-2-1,Emirates Stadium (London),Michael Dean,database/Game_dataset/england_epl_2016-2017/2016-10-22 - 17-00 Arsenal 0 - 0 Middlesbrough/Labels-caption.json
england_epl,2016-2017,2016-10-22,2016,10,22,18:30,2 - 1,Liverpool,West Brom,4-3-3,4-1-4-1,Anfield (Liverpool),Neil Swarbrick,database/Game_dataset/england_epl_2016-2017/2016-10-22 - 19-30 Liverpool 2 - 1 West Brom/Labels-caption.json
england_epl,2016-2017,2016-10-29,2016,10,29,13:30,1 - 4,Sunderland,Arsenal,4-5-1,4-2-3-1,Stadium of Light (Sunderland),Martin Atkinson,database/Game_dataset/england_epl_2016-2017/2016-10-29 - 14-30 Sunderland 1 - 4 Arsenal/Labels-caption.json
england_epl,2016-2017,2016-10-29,2016,10,29,16:00,1 - 1,Tottenham,Leicester,4-2-3-1,4-4-2,White Hart Lane (London),Robert Madley,database/Game_dataset/england_epl_2016-2017/2016-10-29 - 17-00 Tottenham 1 - 1 Leicester/Labels-caption.json
england_epl,2016-2017,2016-10-29,2016,10,29,18:30,2 - 4,Crystal Palace,Liverpool,4-2-3-1,4-3-3,Selhurst Park (London),Andre Marriner,database/Game_dataset/england_epl_2016-2017/2016-10-29 - 19-30 Crystal Palace 2 - 4 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-11-06,2016,11,6,15:15,6 - 1,Liverpool,Watford,4-3-3,4-4-2,Anfield (Liverpool),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-11-06 - 17-15 Liverpool 6 - 1 Watford/Labels-caption.json
england_epl,2016-2017,2016-11-06,2016,11,6,17:30,1 - 2,Leicester,West Brom,4-4-2,4-2-3-1,King Power Stadium (Leicester),Craig Pawson,database/Game_dataset/england_epl_2016-2017/2016-11-06 - 19-30 Leicester 1 - 2 West Brom/Labels-caption.json
england_epl,2016-2017,2016-11-19,2016,11,19,16:00,0 - 0,Southampton,Liverpool,4-3-3,4-3-3,St. Mary's Stadium (Southampton),Mark Clattenburg,database/Game_dataset/england_epl_2016-2017/2016-11-19 - 18-00 Southampton 0 - 0 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-11-26,2016,11,26,16:00,2 - 0,Liverpool,Sunderland,4-3-3,4-3-3,Anfield (Liverpool),Anthony Taylor,database/Game_dataset/england_epl_2016-2017/2016-11-26 - 18-00 Liverpool 2 - 0 Sunderland/Labels-caption.json
england_epl,2016-2017,2016-12-04,2016,12,4,14:30,4 - 3,Bournemouth,Liverpool,4-2-3-1,4-3-3,Vitality Stadium (Bournemouth),Robert Madley,database/Game_dataset/england_epl_2016-2017/2016-12-04 - 16-30 Bournemouth 4 - 3 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-12-10,2016,12,10,18:30,4 - 2,Leicester,Manchester City,4-4-2,4-1-4-1,King Power Stadium (Leicester),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-12-10 - 20-30 Leicester 4 - 2 Manchester City/Labels-caption.json
england_epl,2016-2017,2016-12-11,2016,12,11,17:30,2 - 2,Liverpool,West Ham,4-3-3,3-4-2-1,Anfield (Liverpool),Mark Clattenburg,database/Game_dataset/england_epl_2016-2017/2016-12-11 - 19-30 Liverpool 2 - 2 West Ham/Labels-caption.json
england_epl,2016-2017,2016-12-14,2016,12,14,20:45,0 - 3,Middlesbrough,Liverpool,4-3-3,4-3-3,Riverside Stadium (Middlesbrough),Jonathan Moss,database/Game_dataset/england_epl_2016-2017/2016-12-14 - 22-45 Middlesbrough 0 - 3 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-12-19,2016,12,19,21:00,0 - 1,Everton,Liverpool,4-2-3-1,4-3-3,Goodison Park (Liverpool),Michael Dean,database/Game_dataset/england_epl_2016-2017/2016-12-19 - 23-00 Everton 0 - 1 Liverpool/Labels-caption.json
england_epl,2016-2017,2016-12-27,2016,12,27,18:15,4 - 1,Liverpool,Stoke City,4-3-3,4-2-3-1,Anfield (Liverpool),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2016-12-27 - 20-15 Liverpool 4 - 1 Stoke City/Labels-caption.json
england_epl,2016-2017,2016-12-31,2016,12,31,18:30,1 - 0,Liverpool,Manchester City,4-3-3,4-2-3-1,Anfield (Liverpool),Craig Pawson,database/Game_dataset/england_epl_2016-2017/2016-12-31 - 20-30 Liverpool 1 - 0 Manchester City/Labels-caption.json
england_epl,2016-2017,2017-01-02,2017,1,2,13:30,0 - 0,Middlesbrough,Leicester,4-3-3,4-1-2-1-2,Riverside Stadium (Middlesbrough),Robert Madley,database/Game_dataset/england_epl_2016-2017/2017-01-02 - 15-30 Middlesbrough 0 - 0 Leicester/Labels-caption.json
england_epl,2016-2017,2017-01-02,2017,1,2,16:00,2 - 2,Sunderland,Liverpool,4-4-1-1,4-3-3,Stadium of Light (Sunderland),Anthony Taylor,database/Game_dataset/england_epl_2016-2017/2017-01-02 - 18-00 Sunderland 2 - 2 Liverpool/Labels-caption.json
england_epl,2016-2017,2017-01-14,2017,1,14,18:30,0 - 3,Leicester,Chelsea,3-5-2,3-4-3,King Power Stadium (Leicester),Andre Marriner,database/Game_dataset/england_epl_2016-2017/2017-01-14 - 20-30 Leicester 0 - 3 Chelsea/Labels-caption.json
england_epl,2016-2017,2017-01-15,2017,1,15,17:00,1 - 1,Manchester United,Liverpool,4-3-3,4-3-3,Old Trafford (Manchester),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2017-01-15 - 19-00 Manchester United 1 - 1 Liverpool/Labels-caption.json
england_epl,2016-2017,2017-01-21,2017,1,21,13:30,2 - 3,Liverpool,Swansea,4-3-3,4-3-3,Anfield (Liverpool),Kevin Friend,database/Game_dataset/england_epl_2016-2017/2017-01-21 - 15-30 Liverpool 2 - 3 Swansea/Labels-caption_with_gt.json
england_epl,2016-2017,2017-01-31,2017,1,31,21:00,1 - 1,Liverpool,Chelsea,4-3-3,3-4-3,Anfield (Liverpool),Mark Clattenburg,database/Game_dataset/england_epl_2016-2017/2017-01-31 - 23-00 Liverpool 1 - 1 Chelsea/Labels-caption.json
england_epl,2016-2017,2017-02-27,2017,2,27,21:00,3 - 1,Leicester,Liverpool,4-4-2,4-3-3,King Power Stadium (Leicester),Michael Oliver,database/Game_dataset/england_epl_2016-2017/2017-02-27 - 23-00 Leicester 3 - 1 Liverpool/Labels-caption.json
england_epl,2016-2017,2017-04-09,2017,4,9,17:00,4 - 2,Everton,Leicester,4-3-3,4-4-2,Goodison Park (Liverpool),Robert Madley,database/Game_dataset/england_epl_2016-2017/2017-04-09 - 18-00 Everton 4 - 2 Leicester/Labels-caption.json
england_epl,2016-2017,2017-04-26,2017,4,26,20:45,1 - 0,Arsenal,Leicester,3-4-2-1,4-4-2,Emirates Stadium (London),Mike Jones,database/Game_dataset/england_epl_2016-2017/2017-04-26 - 21-45 Arsenal 1 - 0 Leicester/Labels-caption.json
england_epl,2016-2017,2017-05-06,2017,5,6,16:00,3 - 0,Leicester,Watford,4-4-2,3-5-2,King Power Stadium (Leicester),Roger East,database/Game_dataset/england_epl_2016-2017/2017-05-06 - 17-00 Leicester 3 - 0 Watford/Labels-caption_with_gt.json
england_epl,2016-2017,2017-05-13,2017,5,13,13:30,2 - 1,Manchester City,Leicester,4-1-4-1,4-4-2,Etihad Stadium (Manchester),Robert Madley,database/Game_dataset/england_epl_2016-2017/2017-05-13 - 14-30 Manchester City 2 - 1 Leicester/Labels-caption.json
england_epl,2017-2018,2017-08-12,2017,08,12,19:30,3 - 3,Watford,Liverpool,4 - 3 - 3,4 - 3 - 3,Vicarage Road (Watford),Anthony Taylor,database/Game_dataset/england_epl_2017-2018/2017-08-12_watford-fc-liverpool-fc/2017-08-12_Watford_3-3_Liverpool_AaZvBO5T.json
england_epl,2017-2018,2017-08-13,2017,08,13,23:00,4 - 0,Manchester Utd,West Ham,4 - 2 - 3 - 1,4 - 2 - 3 - 1,Old Trafford (Manchester),Martin Atkinson,database/Game_dataset/england_epl_2017-2018/2017-08-13_manchester-united-west-ham-united-premier-league-2017-2018/2017-08-13_Manchester_Utd_4-0_West_Ham_lpoWCpyH.json
